id,year,section,section_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference
"y1_new_1770921611895_1","1","1","Section 1","medium","Year 1 Question 1 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 1","Option B for Year 1 Question 1","Option C for Year 1 Question 1","Option D for Year 1 Question 1","A","Explanation for Year 1 Question 1 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_2","1","1","Section 1","medium","Year 1 Question 2 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 2","Option B for Year 1 Question 2","Option C for Year 1 Question 2","Option D for Year 1 Question 2","B","Explanation for Year 1 Question 2 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_3","1","1","Section 1","medium","Year 1 Question 3 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 3","Option B for Year 1 Question 3","Option C for Year 1 Question 3","Option D for Year 1 Question 3","C","Explanation for Year 1 Question 3 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_4","1","1","Section 1","medium","Year 1 Question 4 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 4","Option B for Year 1 Question 4","Option C for Year 1 Question 4","Option D for Year 1 Question 4","D","Explanation for Year 1 Question 4 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_5","1","1","Section 1","medium","Year 1 Question 5 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 5","Option B for Year 1 Question 5","Option C for Year 1 Question 5","Option D for Year 1 Question 5","A","Explanation for Year 1 Question 5 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_6","1","1","Section 1","medium","Year 1 Question 6 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 6","Option B for Year 1 Question 6","Option C for Year 1 Question 6","Option D for Year 1 Question 6","B","Explanation for Year 1 Question 6 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_7","1","1","Section 1","medium","Year 1 Question 7 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 7","Option B for Year 1 Question 7","Option C for Year 1 Question 7","Option D for Year 1 Question 7","C","Explanation for Year 1 Question 7 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_8","1","1","Section 1","medium","Year 1 Question 8 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 8","Option B for Year 1 Question 8","Option C for Year 1 Question 8","Option D for Year 1 Question 8","D","Explanation for Year 1 Question 8 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_9","1","1","Section 1","medium","Year 1 Question 9 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 9","Option B for Year 1 Question 9","Option C for Year 1 Question 9","Option D for Year 1 Question 9","A","Explanation for Year 1 Question 9 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_10","1","1","Section 1","medium","Year 1 Question 10 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 10","Option B for Year 1 Question 10","Option C for Year 1 Question 10","Option D for Year 1 Question 10","B","Explanation for Year 1 Question 10 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_11","1","1","Section 1","medium","Year 1 Question 11 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 11","Option B for Year 1 Question 11","Option C for Year 1 Question 11","Option D for Year 1 Question 11","C","Explanation for Year 1 Question 11 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_12","1","1","Section 1","medium","Year 1 Question 12 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 12","Option B for Year 1 Question 12","Option C for Year 1 Question 12","Option D for Year 1 Question 12","D","Explanation for Year 1 Question 12 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_13","1","1","Section 1","medium","Year 1 Question 13 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 13","Option B for Year 1 Question 13","Option C for Year 1 Question 13","Option D for Year 1 Question 13","A","Explanation for Year 1 Question 13 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_14","1","1","Section 1","medium","Year 1 Question 14 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 14","Option B for Year 1 Question 14","Option C for Year 1 Question 14","Option D for Year 1 Question 14","B","Explanation for Year 1 Question 14 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_15","1","1","Section 1","medium","Year 1 Question 15 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 15","Option B for Year 1 Question 15","Option C for Year 1 Question 15","Option D for Year 1 Question 15","C","Explanation for Year 1 Question 15 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_16","1","1","Section 1","medium","Year 1 Question 16 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 16","Option B for Year 1 Question 16","Option C for Year 1 Question 16","Option D for Year 1 Question 16","D","Explanation for Year 1 Question 16 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_17","1","1","Section 1","medium","Year 1 Question 17 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 17","Option B for Year 1 Question 17","Option C for Year 1 Question 17","Option D for Year 1 Question 17","A","Explanation for Year 1 Question 17 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
