id,year,section,section_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,created_at,trade,country
y1_E_Can_Q525,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",easy,First step in risk assessment?,Identify hazards,Select PPE,Lockout/Tagout,Call supervisor,A,"A correct: Hazard ID precedes controls per CSA Z462. B,C,D follow assessment; supervisor not first.","AIT Period 1 FS 11%, CSA Z462",,electrician,CA
y1_E_Can_Q526,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",easy,Apprentice training periods in Alberta?,"4 periods, 1500 hrs","3 periods, 1200 hrs","5 periods, 2000 hrs","1 period, 800 hrs",A,A correct: Electrician apprenticeship is 4x 8-week periods + 1560 on-job hrs. Others mismatch AIT structure.,AIT Curriculum Guide p.11,,electrician,CA
y1_E_Can_Q527,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",easy,Multimeter for voltage?,"Red to hot, black neutral",Red/black reversed,AC only on DC setting,Current mode,A,"A correct: Standard polarity for DC/AC voltage. B risks damage; C,D wrong functions.","AIT TL 2%, Tools",,electrician,CA
y1_E_Can_Q528,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",medium,LOTO purpose?,De-energize & prevent re-energize,Test voltage only,Isolate ground,Verify PPE,A,A correct: Lockout/Tagout full procedure per OH&S. Others partial or post-LOTO.,"CSA Z462, AIT FS",,electrician,CA
y1_E_Can_Q529,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",easy,WHMIS hazard symbol for flammable?,Flame icon,Skull/crossbones,Corrosive hand,Explosive burst,A,"A correct: Flame for flammables. B=toxic, C=corrosive, D=explosive.","WHMIS, AIT FS",,electrician,CA
y1_E_Can_Q530,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",medium,Megger tests?,Insulation resistance,Continuity,Voltage drop,Capacitance,A,"A correct: Insulation at high voltage (e.g., 500V). Others basic multimeter.",AIT TL Instruments,,electrician,CA
y1_E_Can_Q531,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",hard,Due diligence under OH&S?,Proactive hazard control,Reactive incident reports,PPE issuance only,Training logs,A,A correct: Employer duty to anticipate/prevent. Others compliance tools.,"Alberta OH&S, AIT FS",,electrician,CA
y1_E_Can_Q532,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",easy,PPE hierarchy top?,Elimination,Engineering controls,Admin controls,PPE,A,A correct: Eliminate hazard first per CSA Z1000. PPE last resort.,AIT FS Safety,,electrician,CA
y1_E_Can_Q533,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",easy,Lineman pliers for?,Twisting/cutting wire,Measuring voltage,Soldering,Drilling,A,A correct: Heavy-duty cutting/twisting. Others wrong tool.,AIT TL 2%,,electrician,CA
y1_E_Can_Q534,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",medium,Incident reporting timeline?,Immediate to supervisor,End of shift,Weekly,Monthly,A,A correct: OH&S requires prompt notification. Delays risk recurrence.,"Alberta OH&S, AIT FS",,electrician,CA
y1_E_Can_Q535,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",easy,SDS stands for?,Safety Data Sheet,Site Danger Survey,Standard Duty Spec,Safety Device System,A,A correct: WHMIS doc for hazmat. Others fabricated.,"WHMIS, AIT FS",,electrician,CA
y1_E_Can_Q536,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",medium,Clamp meter measures?,Current non-contact,Voltage only,Insulation,Frequency,A,A correct: AC/DC current via jaws. Others probes/other.,AIT TL,,electrician,CA
y1_E_Can_Q537,1,1,"SKILLS, RESP AND TOOLS, EQUIPMENTS",hard,Competent person def?,Qualified + experienced,Trained 1 day,Supervisor only,Any worker,A,A correct: OH&S: knowledge + training + experience. Others insufficient.,Alberta OH&S,,electrician,CA
y1_E_Can_Q538,1,2,CODES AND STANDARDS,medium,CEC Rule 2-304: Box fill calculation?,Max 9 conductors #14,Max 2 conductors/cm?,Based on conductor ampacity,Volume by box markings only,B,"B correct: CEC 2-304 uses cm? derating (e.g., 2x14AWG=2). A ignores size; C,D not primary.","AIT CS 19%, CEC 2-304",,electrician,CA
y1_E_Can_Q539,1,2,CODES AND STANDARDS,easy,CEC conductor color for grounded?,White or grey,Green,Red,Blue,A,A correct: CEC 4-016 specifies white/grey for neutrals. Green=ground; others hot.,"CEC 4-016, AIT CS",,electrician,CA
y1_E_Can_Q540,1,2,CODES AND STANDARDS,medium,NM cable allowed in?,Dry locations only,Wet if protected,Underground,Exposed outdoors,B,"B correct: CEC 12-510 allows NM in wet if damp-proofed. A too strict; C,D no.","CEC 12-510, AIT CS",,electrician,CA
y1_E_Can_Q541,1,2,CODES AND STANDARDS,easy,CEC Section 0 objective?,Definitions,Safety authority,Code scope,Permits,C,C correct: Sec 0 defines applicability/safety goals. A=Sec2; B jurisdiction.,"CEC Sec 0, AIT CS",,electrician,CA
y1_E_Can_Q542,1,2,CODES AND STANDARDS,hard,CEC 10-602: Receptacle spacing?,No 1.5m gap max,Every 3m in kitchens,12 outlets/kitchen,Max 300mm from corners,A,A correct: No point >1.5m from receptacle in general areas. Others specific.,"CEC 10-602, AIT CS",,electrician,CA
y1_E_Can_Q543,1,2,CODES AND STANDARDS,medium,Box fill #12AWG conductors?,9 volume-based,Unlimited if marked,8 total,Derate to 80%,A,A correct: CEC 12-3006 volume calc (2.5cm?/#12). Others ignore.,CEC 12-3006,,electrician,CA
y1_E_Can_Q544,1,2,CODES AND STANDARDS,medium,CEC ampacity derating >3 currents?,80% for 4-6,70% over 6,No derate,100% always,A,"A correct: Table 1C, 4-6 conductors 80%. B more; C,D ignore heat.",CEC Table 1C,,electrician,CA
y1_E_Can_Q545,1,2,CODES AND STANDARDS,easy,Service entrance size min?,100A typical,60A,200A,Per load calc,D,D correct: CEC 8-200 calc based. A-C examples only.,CEC 8-200,,electrician,CA
y1_E_Can_Q546,1,2,CODES AND STANDARDS,hard,CEC 12-1010 raceway fill max?,53% for 1 conductor,40% 2+,100% empty,31% low V,A,"A correct: Table 6, single cond 53%; multi lower for heat.",CEC Table 6,,electrician,CA
y1_E_Can_Q547,1,2,CODES AND STANDARDS,medium,Arc-fault protection req?,Sleeping areas 15/20A,All circuits,Kitchens only,Outlets >10A,A,A correct: CEC 26-658 bedrooms. Others partial.,CEC 26-658,,electrician,CA
y1_E_Can_Q548,1,2,CODES AND STANDARDS,medium,Grounding electrode min?,2 rods 1.8m apart,1 rod only,Plate only,Water pipe,A,A correct: CEC 10-702 supplemental if needed. Single may suffice.,CEC 10-702,,electrician,CA
y1_E_Can_Q549,1,2,CODES AND STANDARDS,easy,CEC panel label req?,Circuit directory,Voltage only,Breaker size,Load calc,A,A correct: 10-604 directory. Others partial.,CEC 10-604,,electrician,CA
y1_E_Can_Q550,1,2,CODES AND STANDARDS,hard,CEC 28-604 transformer protection?,"Primary 125%, sec per load",Both 100%,OCPD only,Fuse primary,A,A correct: Rule specifies derate. Others under.,CEC 28-604,,electrician,CA
y1_E_Can_Q551,1,2,CODES AND STANDARDS,medium,Kitchen countertop receptacles?,No >600mm gap,Every 1m,2 per circuit,GFCI only,A,A correct: CEC 26-710 similar to 10-602.,CEC 26-710,,electrician,CA
y1_E_Can_Q552,1,2,CODES AND STANDARDS,hard,CEC 4-004 ampacity temp?,Table 1 30?C,40?C air,Ambient only,No adjust,A,A correct: Base 30?C cols. Adjust higher.,CEC 4-004,,electrician,CA
y1_E_Can_Q553,1,2,CODES AND STANDARDS,easy,Bonding conductor purpose?,Fault current path,Neutral,Hot,Ground only,A,A correct: Clear fault to trip. Neutral separate.,CEC 10-400,,electrician,CA
y1_E_Can_Q554,1,2,CODES AND STANDARDS,medium,MC cable armour?,Interlocked,Smooth,Flexible only,Rigid,A,A correct: CEC 12-600 MC interlocked. B AC.,CEC 12-600,,electrician,CA
y1_E_Can_Q555,1,2,CODES AND STANDARDS,medium,Elevator disconnect?,Shunt trip fire,Local manual,Remote only,No req,A,A correct: CEC 46-204 phase. B supplemental.,CEC 46-204,,electrician,CA
y1_E_Can_Q556,1,2,CODES AND STANDARDS,hard,CEC Table 19 wire bend radii?,4x OD trade size,2x,6x,Straight,A,A correct: Min bend for conduit. Larger sharp.,CEC Table 19,,electrician,CA
y1_E_Can_Q557,1,3,"ELE THEORY, CIRC, ELECTRONICS",medium,Ohm's Law formula?,V=IR,I=VR,R=VI,P=V/I,A,"A correct: Voltage=Current x Resistance. B,C swap; D is power, not Ohm's.","AIT TE 31%, Basic Theory",,electrician,CA
y1_E_Can_Q558,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Unit of resistance?,Ohm,Volt-amp,Watt,Ampere,A,"A correct: Ohm (O) opposes current. Others: VA=power, W=power, A=current.","Basic Theory, AIT TE",,electrician,CA
y1_E_Can_Q559,1,3,"ELE THEORY, CIRC, ELECTRONICS",hard,Power in DC: P=?,V x I,I?R,V?/R,All equivalent,D,D correct: P=VI=I?R=V?/R all derive from V=IR. Single formulas partial.,AIT TE Circuits,,electrician,CA
y1_E_Can_Q560,1,3,"ELE THEORY, CIRC, ELECTRONICS",medium,"10O resistor, 5A current: V=?",50V,2V,50W,0.5O,A,A correct: V=IR=10x5=50V. C power; D wrong R.,AIT TE Ohm's,,electrician,CA
y1_E_Can_Q561,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Atomic number of copper?,29,6,47,13,A,"A correct: Cu Z=29, conductor. C=Ag better but Cu standard; others C,N,Al.","Basic Theory, AIT TE",,electrician,CA
y1_E_Can_Q562,1,3,"ELE THEORY, CIRC, ELECTRONICS",hard,Series-parallel equivalent R calc?,Combine series first,Parallel always first,Average resistances,Sum voltages,A,"A correct: Series add, then parallel reciprocal. Others wrong order.",AIT TE Circuits,,electrician,CA
y1_E_Can_Q563,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Current unit?,Ampere,Volt,Ohm,Farad,A,"A correct: I measures flow. Others V,R,C.",AIT TE,,electrician,CA
y1_E_Can_Q564,1,3,"ELE THEORY, CIRC, ELECTRONICS",medium,20V across 4O: I=?,5A,80W,5O,16A,A,A correct: I=V/R=20/4=5A. C wrong R; others power.,AIT TE,,electrician,CA
y1_E_Can_Q565,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Electrons flow direction?,Conventional + to -,Actual - to +,No flow DC,Random,B,B correct: Electron current opposite conventional. A theory.,Basic Theory,,electrician,CA
y1_E_Can_Q566,1,3,"ELE THEORY, CIRC, ELECTRONICS",hard,Wheatstone bridge balanced when?,P/Q = R/S,P+R = Q+S,V=0 across detector,I total=0,C,C correct: Galvanometer zero voltage indicates balance. A ratio condition.,AIT TE Advanced,,electrician,CA
y1_E_Can_Q567,1,3,"ELE THEORY, CIRC, ELECTRONICS",medium,Battery internal R effect?,Reduces voltage under load,Increases capacity,Blocks current,Adds capacitance,A,A correct: Drop across Ri lowers terminal V. Others no.,AIT TE,,electrician,CA
y1_E_Can_Q568,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Magnetism N pole?,Repels N,Attracts S,No field,Induces current,A,A correct: Like poles repel. B opposite.,Basic Theory,,electrician,CA
y1_E_Can_Q569,1,3,"ELE THEORY, CIRC, ELECTRONICS",medium,Capacitive reactance?,Xc=1/(2pfC),XL=2pfL,R constant,L/R,A,A correct: Opp freq/cap. B inductor; others no.,AIT TE Intro Electronics,,electrician,CA
y1_E_Can_Q570,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Joule heat?,I?Rt,VIt,Both,Neither,C,C correct: Energy dissipated. Same.,AIT TE Power,,electrician,CA
y1_E_Can_Q571,1,3,"ELE THEORY, CIRC, ELECTRONICS",hard,Max power transfer?,Rload = Rth,Rload >> Rth,Rload << Rth,No match,A,A correct: Thevenin for max P. Others min/loss.,AIT TE,,electrician,CA
y1_E_Can_Q572,1,3,"ELE THEORY, CIRC, ELECTRONICS",medium,Three 6O parallel: Rt=?,2O,18O,6O,0.5O,A,"A correct: 1/Rt=3/6=0.5, Rt=2O. B series.",AIT TE,,electrician,CA
y1_E_Can_Q573,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Sine wave peak from RMS?,1.414 x RMS,RMS x 1,RMS / v2,2x RMS,A,A correct: Vp=VRMSv2?1.414VRMS. C inverse.,Basic AC Theory,,electrician,CA
y1_E_Can_Q574,1,3,"ELE THEORY, CIRC, ELECTRONICS",medium,Inductor opposes?,Current change,Voltage drop,Power loss,Heat,A,A correct: Lenz's law dI/dt. Others effects.,AIT TE Electronics,,electrician,CA
y1_E_Can_Q575,1,3,"ELE THEORY, CIRC, ELECTRONICS",hard,RMS value purpose?,DC heating equiv,Peak meas,Avg value,Min value,A,A correct: Effective heat/AC-DC same. Others no.,AIT TE AC,,electrician,CA
y1_E_Can_Q576,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Frequency Canada?,60 Hz,50 Hz,120 Hz,400 Hz,A,A correct: North Am standard. B Europe.,AIT TE AC,,electrician,CA
y1_E_Can_Q577,1,3,"ELE THEORY, CIRC, ELECTRONICS",medium,Two 10O series: total?,20O,5O,100O,10O,A,A correct: Rs= R1+R2. B parallel.,AIT TE,,electrician,CA
y1_E_Can_Q578,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Work=force x distance analog?,Power=V x I,Energy=V x I x t,Charge=I x t,All,B,B correct: Whr equiv. A power; C coulomb.,AIT TE Power,,electrician,CA
y1_E_Can_Q579,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,CEC overcurrent device upstream?,Protects downstream,Supervised only,No coord,Branch only,A,A correct: Selective coordination. C bad.,CEC 14-018,,electrician,CA
y1_E_Can_Q580,1,3,"ELE THEORY, CIRC, ELECTRONICS",medium,Service box seal?,Weatherproof,Indoor only,Ventilated,No req,A,A correct: CEC 12-1110 outdoor. B no.,CEC 12-1110,,electrician,CA
y1_E_Can_Q581,1,3,"ELE THEORY, CIRC, ELECTRONICS",hard,CEC 10-1104 EGC sizing?,Table 16 based on OCPD,Overcurrent rating,Phase size,Fixed 8AWG,A,A correct: Min EGC per Table 16. Others no.,CEC Table 16,,electrician,CA
y1_E_Can_Q582,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Fall protection at height?,2m threshold,1.8m,3m,1m,A,A correct: OH&S 2m triggers. Others vary.,Alberta OH&S,,electrician,CA
y1_E_Can_Q583,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Fish tape material?,Steel or fiberglass,Rubber,Copper,Plastic only,A,A correct: Flexible for pulling. Others not durable.,AIT TL,,electrician,CA
