year,section,title,content
1,Section A,Introduction to Piping,"This guide covers basic piping concepts, safety practices, and tools used in the trade."
1,Section A,Tools and Materials,"Overview of common tools and materials used in steamfitting and pipefitting."
1,Section B,Blueprint Reading,"How to read and interpret piping blueprints and technical drawings."
1,Section B,Pipe Layout and Measurement,"Techniques for layout, measurement, and cutting pipe to specification."
2,Section A,Intermediate Piping Systems,"Installation and maintenance of commercial and industrial piping systems."
2,Section A,Valves and Fittings,"Types of valves and fittings, applications, and installation procedures."
2,Section B,Welding and Joining,"Welding processes and joining methods for pipe and fittings."
2,Section B,Codes and Standards,"Relevant codes (e.g. ASME, CSA) and how they apply to piping work."
3,Section A,Advanced Systems,"Complex systems including HVAC, process piping, and specialty applications."
3,Section A,Troubleshooting and Repair,"Diagnosing and repairing common piping and system issues."
3,Section B,Project Planning,"Planning, scheduling, and coordinating piping projects."
3,Section B,Safety and Documentation,"Jobsite safety, documentation, and handover requirements."
4,Section A,Red Seal Preparation - Theory,"Key theoretical concepts and code knowledge for Red Seal certification."
4,Section A,Red Seal Preparation - Practical,"Practical skills and procedures commonly assessed on the Red Seal exam."
4,Section B,Final Review and Practice,"Structured review and practice questions for Year 4 and Red Seal readiness."
